Artist,Attendance,Gross,Bands in Town
Hatsune Miku,"3,683","$226,505.00",185
Jo Koy,"3,674","$191,169.00",90
Yeah Yeah Yeahs,"3,656","$179,829.00","7,764"
Deadmau5,"3,653","$193,148.00","18,345"
Bandits Of The Acoustic Revolution Orchestra,"3,649","$138,325.00",134
Toni Braxton,"3,649","$269,619.00","4,450"
Young Thug,"3,641","$133,521.00","9,910"
Mew,"3,634","$86,341.00",521
Grace Jones,"3,626","$232,946.00",416
Styx,"3,625","$190,789.00","7,836"
Jeezy,"3,623","$287,720.00","12,794"
Janelle Monáe,"3,617","$217,788.00","3,874"
Incubus,"3,601","$261,057.00","19,531"
Hozier,"3,598","$164,146.00","13,571"
Rick Astley,"3,593","$175,688.00","1,144"
Steven Tyler,"3,583","$216,760.00","5,309"
Ben Shapiro,"3,582","$144,545.00",42
Havasi,"3,581","$221,580.00",22
Crystal Fighters,"3,580","$143,853.00",713
A Perfect Circle,"3,570","$229,604.00","8,725"
Ian Anderson,"3,567","$234,396.00",148
Zaz,"3,566","$177,167.00",215
Cypress Hill,"3,564","$119,836.00","5,822"
Four Color Zack,"3,559","$123,714.00",37
Disco Biscuits,"3,558","$153,571.00",122
Kem,"3,556","$287,778.00","2,494"
One Ok Rock,"3,556","$354,890.00",926
Alison Wonderland,"3,553","$133,753.00","2,241"
Ween,"3,539","$182,407.00","1,620"
Schitt's Creek: Up Close and Personal,"3,534","$253,664.00","497,354"
City and Colour,"3,524","$171,646.00","6,998"
Kaiser Chiefs,"3,522","$170,198.00","1,149"
Wu-Tang Clan,"3,519","$244,322.00","10,347"
Sammy Hagar And The Circle,"3,517","$219,818.00","497,354"
Afrojack,"3,510","$195,440.00","7,270"
Amy Schumer,"3,510","$320,462.00",276
Creedence Clearwater Revisited,"3,503","$156,160.00",326
Queen Latifah,"3,486","$186,532.00","1,225"
Gucci Mane,"3,478","$244,920.00","20,785"
Die Antwoord,"3,477","$133,300.00","497,354"
Within Temptation,"3,477","$158,793.00","1,994"
The Raconteurs,"3,472","$207,746.00","3,316"
Maggie Rogers,"3,453","$142,252.00","1,400"
Empire Of The Sun,"3,450","$143,175.00","497,354"
Avril Lavigne,"3,448","$197,553.00","26,857"
Jake Owen,"3,445","$208,895.00","14,983"
Juanes,"3,445","$199,736.00","3,121"
Victor Calderone,"3,426","$179,591.00",253
